Date,Manufacturer,Category,Region,Production_Volume,Average_Price,GDP_Growth,Steel_Price,Oil_Price,Interest_Rate,US_Tariff_Rate,US_EV_Subsidy,EV_Share
2010-01-31,Volkswagen,Electric_Vehicles,Europe,1725,45881.32,0.0195,728.33,75.37,0.0246,0.025,7500,0.0333
2010-01-31,Volkswagen,Electric_Vehicles,Asia_Pacific,1958,42832.47,0.0152,716.17,64.83,0.0251,0.025,7500,0.0333
2010-01-31,Volkswagen,Electric_Vehicles,China,2094,47660.47,0.0196,658.94,72.19,0.0363,0.025,7500,0.0333
2010-01-31,Ford,Passenger_Cars,North_America,20421,23126.06,0.0113,716.21,72.68,0.0223,0.025,7500,0.0333
2010-01-31,Ford,Passenger_Cars,Europe,25919,25200.44,0.0208,717.45,59.48,0.0291,0.025,7500,0.0333
2010-01-31,Ford,Passenger_Cars,Asia_Pacific,27255,24453.74,0.0172,691.89,58.21,0.029,0.025,7500,0.0333
2010-01-31,Ford,Passenger_Cars,China,32608,24841.86,0.0235,731.06,59.54,0.0252,0.025,7500,0.0333
2010-01-31,Ford,Commercial_Vehicles,North_America,6909,44736.88,0.0195,667.56,84.05,0.0301,0.025,7500,0.0333
2010-01-31,Ford,Commercial_Vehicles,Europe,6749,43004.47,0.0151,670.51,75.38,0.024,0.025,7500,0.0333
2010-01-31,Ford,Commercial_Vehicles,Asia_Pacific,10189,44850.81,0.0153,703.93,70.43,0.0289,0.025,7500,0.0333
2010-01-31,Ford,Commercial_Vehicles,China,10643,44501.9,0.0342,642.9,74.47,0.0297,0.025,7500,0.0333
2010-01-31,Ford,Electric_Vehicles,North_America,1020,40173.75,0.0235,640.51,107.76,0.0336,0.025,7500,0.0333
2010-01-31,Ford,Electric_Vehicles,Europe,1382,40771.02,0.0198,691.6,76.95,0.0214,0.025,7500,0.0333
2010-01-31,Ford,Electric_Vehicles,Asia_Pacific,1798,40215.4,0.0225,727.74,64.09,0.019,0.025,7500,0.0333
2010-01-31,Ford,Electric_Vehicles,China,1823,40181.52,0.0211,654.49,63.72,0.0357,0.025,7500,0.0333
2010-01-31,Hyundai-Kia,Passenger_Cars,North_America,20428,22772.46,0.019,650.24,71.87,0.0407,0.025,7500,0.0333
2010-01-31,Hyundai-Kia,Passenger_Cars,Europe,24523,21422.85,0.0196,701.68,46.37,0.0354,0.025,7500,0.0333
2010-01-31,Hyundai-Kia,Passenger_Cars,Asia_Pacific,30022,22516.52,0.0152,741.0,69.77,0.0263,0.025,7500,0.0333
2010-01-31,Hyundai-Kia,Passenger_Cars,China,28614,22626.44,0.0187,727.65,62.57,0.0232,0.025,7500,0.0333
2010-01-31,Hyundai-Kia,Commercial_Vehicles,North_America,6776,41527.3,0.0252,741.13,75.18,0.0276,0.025,7500,0.0333
2010-01-31,Hyundai-Kia,Commercial_Vehicles,Europe,7634,40163.39,0.0177,652.39,72.64,0.0397,0.025,7500,0.0333
2010-01-31,Hyundai-Kia,Commercial_Vehicles,Asia_Pacific,8910,38284.87,0.0278,716.33,66.3,0.0213,0.025,7500,0.0333
2010-01-31,Hyundai-Kia,Commercial_Vehicles,China,8325,38388.15,0.0238,692.78,74.82,0.0308,0.025,7500,0.0333
2010-01-31,Hyundai-Kia,Electric_Vehicles,North_America,1050,36169.19,0.0146,691.66,62.94,0.0314,0.025,7500,0.0333
2010-01-31,Hyundai-Kia,Electric_Vehicles,Europe,1335,37371.61,0.019,667.63,92.89,0.0319,0.025,7500,0.0333
2010-01-31,Hyundai-Kia,Electric_Vehicles,Asia_Pacific,1424,37852.2,0.0256,679.7,63.26,0.0324,0.025,7500,0.0333
2010-01-31,Hyundai-Kia,Electric_Vehicles,China,1695,35937.03,0.0092,673.47,51.04,0.0335,0.025,7500,0.0333
2010-01-31,Stellantis,Passenger_Cars,North_America,18633,26055.13,0.0246,707.0,74.21,0.0307,0.025,7500,0.0333
2010-01-31,Stellantis,Passenger_Cars,Europe,21177,27169.27,0.0213,700.32,67.45,0.0454,0.025,7500,0.0333
2010-01-31,Stellantis,Passenger_Cars,Asia_Pacific,27321,26611.85,0.0202,677.4,92.88,0.0227,0.025,7500,0.0333
2010-01-31,Stellantis,Passenger_Cars,China,29602,27571.99,0.0198,750.88,71.1,0.0265,0.025,7500,0.0333
2010-01-31,Stellantis,Commercial_Vehicles,North_America,6076,49422.47,0.0259,685.12,74.86,0.0215,0.025,7500,0.0333
2010-01-31,Stellantis,Commercial_Vehicles,Europe,7012,45013.27,0.018,696.61,72.85,0.036,0.025,7500,0.0333
2010-01-31,Stellantis,Commercial_Vehicles,Asia_Pacific,7707,47332.87,0.0203,671.3,77.16,0.0273,0.025,7500,0.0333
2010-01-31,Stellantis,Commercial_Vehicles,China,8326,47900.25,0.0162,703.47,53.79,0.0274,0.025,7500,0.0333
2010-01-31,Stellantis,Electric_Vehicles,North_America,1000,40697.02,0.0088,748.94,88.66,0.0377,0.025,7500,0.0333
2010-01-31,Stellantis,Electric_Vehicles,Europe,1270,40911.19,0.0291,738.43,83.41,0.025,0.025,7500,0.0333
2010-01-31,Stellantis,Electric_Vehicles,Asia_Pacific,1216,40580.37,0.0237,719.81,79.09,0.0267,0.025,7500,0.0333
2010-01-31,Stellantis,Electric_Vehicles,China,1490,41457.65,0.0239,645.55,73.16,0.0225,0.025,7500,0.0333
2010-01-31,GM,Passenger_Cars,North_America,21691,24922.56,0.0229,673.17,66.34,0.0233,0.025,7500,0.0333
2010-01-31,GM,Passenger_Cars,Europe,25462,25678.49,0.0271,693.68,73.71,0.027,0.025,7500,0.0333
2010-01-31,GM,Passenger_Cars,Asia_Pacific,39425,24369.14,0.0231,667.59,73.89,0.0253,0.025,7500,0.0333
2010-01-31,GM,Passenger_Cars,China,38380,26786.58,0.0192,710.51,57.43,0.0362,0.025,7500,0.0333
2010-01-31,GM,Commercial_Vehicles,North_America,7995,45944.73,0.0166,691.51,75.77,0.0288,0.025,7500,0.0333
2010-01-31,GM,Commercial_Vehicles,Europe,8092,44485.69,0.0201,674.11,62.2,0.0254,0.025,7500,0.0333
2010-01-31,GM,Commercial_Vehicles,Asia_Pacific,10508,43595.52,0.0237,739.27,75.32,0.0391,0.025,7500,0.0333
2010-01-31,GM,Commercial_Vehicles,China,11248,45063.08,0.0196,715.96,73.45,0.0283,0.025,7500,0.0333
2010-01-31,GM,Electric_Vehicles,North_America,1238,41664.06,0.0255,678.46,78.21,0.0279,0.025,7500,0.0333
2010-01-31,GM,Electric_Vehicles,Europe,1348,40178.48,0.0192,726.87,64.98,0.0282,0.025,7500,0.0333
2010-01-31,GM,Electric_Vehicles,Asia_Pacific,1801,38894.96,0.0129,697.83,68.39,0.0213,0.025,7500,0.0333
2010-01-31,GM,Electric_Vehicles,China,2029,40455.52,0.0156,745.95,83.18,0.0312,0.025,7500,0.0333
2010-02-28,Toyota,Passenger_Cars,North_America,30083,26922.72,0.0111,704.51,59.01,0.0324,0.025,7500,0.0333
2010-02-28,Toyota,Passenger_Cars,Europe,37374,26989.85,0.0162,708.57,82.65,0.0353,0.025,7500,0.0333
2010-02-28,Toyota,Passenger_Cars,Asia_Pacific,46403,26831.85,0.0063,759.05,100.9,0.0306,0.025,7500,0.0333
2010-02-28,Toyota,Passenger_Cars,China,59347,25808.27,0.0229,776.56,64.04,0.0339,0.025,7500,0.0333
2010-02-28,Toyota,Commercial_Vehicles,North_America,8950,47460.22,0.0118,735.09,87.3,0.0372,0.025,7500,0.0333
2010-02-28,Toyota,Commercial_Vehicles,Europe,11339,48371.39,0.0228,677.38,88.39,0.0341,0.025,7500,0.0333
2010-02-28,Toyota,Commercial_Vehicles,Asia_Pacific,11868,51767.75,0.0205,649.99,66.13,0.039,0.025,7500,0.0333
2010-02-28,Toyota,Commercial_Vehicles,China,15875,48538.94,0.0148,713.32,80.33,0.0364,0.025,7500,0.0333
2010-02-28,Toyota,Electric_Vehicles,North_America,1727,43447.38,0.0322,721.29,92.49,0.0285,0.025,7500,0.0333
2010-02-28,Toyota,Electric_Vehicles,Europe,2008,46751.23,0.0344,723.6,63.76,0.0428,0.025,7500,0.0333
2010-02-28,Toyota,Electric_Vehicles,Asia_Pacific,2375,42701.37,0.0183,706.76,78.94,0.0366,0.025,7500,0.0333
2010-02-28,Toyota,Electric_Vehicles,China,2655,43473.34,0.0176,718.18,82.79,0.031,0.025,7500,0.0333
2010-02-28,Volkswagen,Passenger_Cars,North_America,30254,28558.38,0.0114,715.1,81.33,0.032,0.025,7500,0.0333
2010-02-28,Volkswagen,Passenger_Cars,Europe,32924,27751.32,0.0194,688.26,51.06,0.0338,0.025,7500,0.0333
2010-02-28,Volkswagen,Passenger_Cars,Asia_Pacific,39477,30861.07,0.0191,640.1,79.73,0.023,0.025,7500,0.0333
2010-02-28,Volkswagen,Passenger_Cars,China,41735,28837.89,0.013,707.05,70.31,0.0229,0.025,7500,0.0333
2010-02-28,Volkswagen,Commercial_Vehicles,North_America,7915,53701.08,0.0293,677.97,82.82,0.0332,0.025,7500,0.0333
2010-02-28,Volkswagen,Commercial_Vehicles,Europe,11683,49843.18,0.0214,723.7,96.25,0.0372,0.025,7500,0.0333
2010-02-28,Volkswagen,Commercial_Vehicles,Asia_Pacific,14846,50632.82,0.0198,636.48,71.02,0.0238,0.025,7500,0.0333
2010-02-28,Volkswagen,Commercial_Vehicles,China,14166,52283.86,0.0198,718.59,75.24,0.0374,0.025,7500,0.0333
2010-02-28,Volkswagen,Electric_Vehicles,North_America,1469,47745.7,0.0252,679.48,86.25,0.0311,0.025,7500,0.0333
2010-02-28,Volkswagen,Electric_Vehicles,Europe,2080,46697.54,0.035,735.23,81.93,0.0231,0.025,7500,0.0333
2010-02-28,Volkswagen,Electric_Vehicles,Asia_Pacific,2081,45678.0,0.0187,705.33,82.56,0.0387,0.025,7500,0.0333
2010-02-28,Volkswagen,Electric_Vehicles,China,2555,46836.73,0.0243,739.32,83.85,0.0268,0.025,7500,0.0333
2010-02-28,Ford,Passenger_Cars,North_America,22959,24185.38,0.0248,718.49,65.72,0.0383,0.025,7500,0.0333
2010-02-28,Ford,Passenger_Cars,Europe,30100,25630.85,0.0182,669.73,68.67,0.0249,0.025,7500,0.0333
2010-02-28,Ford,Passenger_Cars,Asia_Pacific,34193,25010.2,0.0242,674.62,67.63,0.0301,0.025,7500,0.0333
2010-02-28,Ford,Passenger_Cars,China,38840,24760.48,0.0203,683.44,78.44,0.0369,0.025,7500,0.0333
2010-02-28,Ford,Commercial_Vehicles,North_America,7154,44417.08,0.0183,743.41,87.41,0.0436,0.025,7500,0.0333
2010-02-28,Ford,Commercial_Vehicles,Europe,8911,41962.1,0.0148,740.77,60.56,0.0299,0.025,7500,0.0333
2010-02-28,Ford,Commercial_Vehicles,Asia_Pacific,10861,45219.66,0.02,676.44,67.49,0.0304,0.025,7500,0.0333
2010-02-28,Ford,Commercial_Vehicles,China,12352,43396.81,0.0198,716.55,76.85,0.0184,0.025,7500,0.0333
2010-02-28,Ford,Electric_Vehicles,North_America,1349,39915.56,0.0135,705.3,75.31,0.0349,0.025,7500,0.0333
2010-02-28,Ford,Electric_Vehicles,Europe,1561,40327.96,0.0135,700.05,76.67,0.0321,0.025,7500,0.0333
2010-02-28,Ford,Electric_Vehicles,Asia_Pacific,1563,39067.35,0.0197,735.05,75.51,0.0333,0.025,7500,0.0333
2010-02-28,Ford,Electric_Vehicles,China,1980,39043.69,0.0255,674.53,91.09,0.0357,0.025,7500,0.0333
2010-02-28,Hyundai-Kia,Passenger_Cars,North_America,24341,22998.43,0.0209,753.34,90.44,0.0277,0.025,7500,0.0333
2010-02-28,Hyundai-Kia,Passenger_Cars,Europe,22395,21833.72,0.0243,728.04,72.65,0.0378,0.025,7500,0.0333
2010-02-28,Hyundai-Kia,Passenger_Cars,Asia_Pacific,26226,22558.85,0.0216,691.09,72.87,0.0283,0.025,7500,0.0333
2010-02-28,Hyundai-Kia,Passenger_Cars,China,36096,22599.24,0.0248,736.36,86.45,0.0257,0.025,7500,0.0333
2010-02-28,Hyundai-Kia,Commercial_Vehicles,North_America,6646,39321.62,0.0189,697.05,88.16,0.0333,0.025,7500,0.0333
2010-02-28,Hyundai-Kia,Commercial_Vehicles,Europe,8022,38914.29,0.0253,720.88,65.85,0.0251,0.025,7500,0.0333
2010-02-28,Hyundai-Kia,Commercial_Vehicles,Asia_Pacific,9355,41186.9,0.0182,740.36,90.69,0.0404,0.025,7500,0.0333
2010-02-28,Hyundai-Kia,Commercial_Vehicles,China,9581,40923.33,0.0262,698.92,54.75,0.0312,0.025,7500,0.0333
2010-02-28,Hyundai-Kia,Electric_Vehicles,North_America,1040,36655.13,0.0284,691.96,79.48,0.0427,0.025,7500,0.0333
2010-02-28,Hyundai-Kia,Electric_Vehicles,Europe,1222,36071.5,0.0245,740.11,82.55,0.0393,0.025,7500,0.0333
2010-02-28,Hyundai-Kia,Electric_Vehicles,Asia_Pacific,1349,35036.94,0.0211,682.54,82.95,0.0282,0.025,7500,0.0333
2010-02-28,Hyundai-Kia,Electric_Vehicles,China,1846,37330.78,0.019,663.79,70.31,0.0266,0.025,7500,0.0333
2010-02-28,Stellantis,Passenger_Cars,North_America,22202,27248.99,0.0254,786.74,70.51,0.0417,0.025,7500,0.0333
2010-02-28,Stellantis,Passenger_Cars,Europe,24565,25851.78,0.0216,635.69,74.01,0.0352,0.025,7500,0.0333
2010-02-28,Stellantis,Passenger_Cars,Asia_Pacific,27493,25162.87,0.0243,715.74,77.39,0.0279,0.025,7500,0.0333
2010-02-28,Stellantis,Passenger_Cars,China,30600,27471.19,0.0167,648.56,77.3,0.0292,0.025,7500,0.0333
2010-02-28,Stellantis,Commercial_Vehicles,North_America,5804,47710.58,0.0235,728.54,93.93,0.0251,0.025,7500,0.0333
2010-02-28,Stellantis,Commercial_Vehicles,Europe,6037,44432.33,0.0225,713.45,93.06,0.0272,0.025,7500,0.0333
2010-02-28,Stellantis,Commercial_Vehicles,Asia_Pacific,8099,48808.44,0.0144,693.67,73.55,0.027,0.025,7500,0.0333
2010-02-28,Stellantis,Commercial_Vehicles,China,10107,46589.6,0.0175,717.06,76.93,0.0303,0.025,7500,0.0333
2010-02-28,Stellantis,Electric_Vehicles,North_America,1125,41998.24,0.0271,679.71,75.94,0.0295,0.025,7500,0.0333
2010-02-28,Stellantis,Electric_Vehicles,Europe,1335,42846.26,0.0142,808.95,68.14,0.0253,0.025,7500,0.0333
2010-02-28,Stellantis,Electric_Vehicles,Asia_Pacific,1388,42276.5,0.022,701.47,63.71,0.0309,0.025,7500,0.0333
2010-02-28,Stellantis,Electric_Vehicles,China,1680,41897.09,0.0158,639.71,70.66,0.0327,0.025,7500,0.0333
2010-02-28,GM,Passenger_Cars,North_America,22356,25568.01,0.0169,722.18,76.87,0.0251,0.025,7500,0.0333
2010-02-28,GM,Passenger_Cars,Europe,31289,23209.07,0.024,721.63,68.0,0.0388,0.025,7500,0.0333
2010-02-28,GM,Passenger_Cars,Asia_Pacific,34615,25781.6,0.0288,658.74,80.02,0.0295,0.025,7500,0.0333
2010-02-28,GM,Passenger_Cars,China,38861,24621.33,0.0245,711.29,76.37,0.0349,0.025,7500,0.0333
2010-02-28,GM,Commercial_Vehicles,North_America,7680,47935.04,0.0273,721.78,87.16,0.0285,0.025,7500,0.0333
2010-02-28,GM,Commercial_Vehicles,Europe,10311,45454.61,0.0255,697.31,66.08,0.0301,0.025,7500,0.0333
2010-02-28,GM,Commercial_Vehicles,Asia_Pacific,10722,43463.05,0.0205,729.71,82.87,0.0292,0.025,7500,0.0333
2010-02-28,GM,Commercial_Vehicles,China,10492,46887.96,0.0321,700.26,68.52,0.0323,0.025,7500,0.0333
2010-02-28,GM,Electric_Vehicles,North_America,1200,38900.49,0.0151,713.24,73.82,0.0336,0.025,7500,0.0333
2010-02-28,GM,Electric_Vehicles,Europe,1441,39898.76,0.0269,708.51,77.14,0.0394,0.025,7500,0.0333
2010-02-28,GM,Electric_Vehicles,Asia_Pacific,2011,39532.02,0.0177,707.92,71.7,0.029,0.025,7500,0.0333
2010-02-28,GM,Electric_Vehicles,China,2134,39470.16,0.0177,748.5,72.71,0.0293,0.025,7500,0.0333
2010-03-31,Toyota,Passenger_Cars,North_America,29916,26982.26,0.0274,796.13,66.01,0.0355,0.025,7500,0.0333
2010-03-31,Toyota,Passenger_Cars,Europe,38639,27671.56,0.0263,782.87,82.85,0.0276,0.025,7500,0.0333
2010-03-31,Toyota,Passenger_Cars,Asia_Pacific,47660,26225.5,0.0282,761.69,71.67,0.0319,0.025,7500,0.0333
2010-03-31,Toyota,Passenger_Cars,China,52179,27672.44,0.0202,730.46,69.02,0.0407,0.025,7500,0.0333
2010-03-31,Toyota,Commercial_Vehicles,North_America,10385,48617.14,0.0198,684.58,84.9,0.0358,0.025,7500,0.0333
2010-03-31,Toyota,Commercial_Vehicles,Europe,10918,51294.57,0.0175,756.06,77.3,0.0307,0.025,7500,0.0333
2010-03-31,Toyota,Commercial_Vehicles,Asia_Pacific,15119,51751.13,0.0243,788.85,87.62,0.0288,0.025,7500,0.0333
2010-03-31,Toyota,Commercial_Vehicles,China,16988,48462.16,0.0258,763.42,78.11,0.0361,0.025,7500,0.0333
2010-03-31,Toyota,Electric_Vehicles,North_America,1596,43326.28,0.0247,775.42,66.55,0.0255,0.025,7500,0.0333
2010-03-31,Toyota,Electric_Vehicles,Europe,1967,44195.32,0.0251,675.05,88.17,0.0318,0.025,7500,0.0333
2010-03-31,Toyota,Electric_Vehicles,Asia_Pacific,2539,42901.69,0.0233,694.12,97.54,0.0358,0.025,7500,0.0333
2010-03-31,Toyota,Electric_Vehicles,China,3126,42733.03,0.0263,711.02,76.24,0.0357,0.025,7500,0.0333
2010-03-31,Volkswagen,Passenger_Cars,North_America,31428,28392.07,0.0247,731.67,72.91,0.0228,0.025,7500,0.0333
2010-03-31,Volkswagen,Passenger_Cars,Europe,42282,29746.05,0.0302,650.97,82.27,0.0302,0.025,7500,0.0333
2010-03-31,Volkswagen,Passenger_Cars,Asia_Pacific,39449,29574.6,0.0197,730.58,73.28,0.04,0.025,7500,0.0333
2010-03-31,Volkswagen,Passenger_Cars,China,46501,29313.51,0.024,768.3,77.96,0.0386,0.025,7500,0.0333
2010-03-31,Volkswagen,Commercial_Vehicles,North_America,8726,51340.09,0.0189,750.59,69.27,0.0275,0.025,7500,0.0333
2010-03-31,Volkswagen,Commercial_Vehicles,Europe,10712,49322.55,0.0257,750.24,80.04,0.0352,0.025,7500,0.0333
2010-03-31,Volkswagen,Commercial_Vehicles,Asia_Pacific,13515,53056.34,0.0122,738.92,79.4,0.0211,0.025,7500,0.0333
2010-03-31,Volkswagen,Commercial_Vehicles,China,15653,53159.72,0.0135,689.2,66.65,0.0279,0.025,7500,0.0333
2010-03-31,Volkswagen,Electric_Vehicles,North_America,1787,45919.78,0.0166,740.65,80.29,0.0311,0.025,7500,0.0333
2010-03-31,Volkswagen,Electric_Vehicles,Europe,1764,43044.43,0.0226,767.49,67.58,0.0323,0.025,7500,0.0333
2010-03-31,Volkswagen,Electric_Vehicles,Asia_Pacific,2167,48540.79,0.0275,765.61,77.87,0.0369,0.025,7500,0.0333
2010-03-31,Volkswagen,Electric_Vehicles,China,2515,47926.01,0.0188,734.33,100.59,0.0374,0.025,7500,0.0333
2010-03-31,Ford,Passenger_Cars,North_America,27017,23945.57,0.0193,730.38,80.84,0.0347,0.025,7500,0.0333
2010-03-31,Ford,Passenger_Cars,Europe,28311,24550.86,0.0193,740.13,71.92,0.0411,0.025,7500,0.0333
2010-03-31,Ford,Passenger_Cars,Asia_Pacific,37515,24682.35,0.03,714.68,75.46,0.0354,0.025,7500,0.0333
2010-03-31,Ford,Passenger_Cars,China,39558,25995.0,0.0245,771.82,84.58,0.0417,0.025,7500,0.0333
2010-03-31,Ford,Commercial_Vehicles,North_America,7020,44966.05,0.024,716.66,88.81,0.0263,0.025,7500,0.0333
2010-03-31,Ford,Commercial_Vehicles,Europe,9035,44014.4,0.0228,716.96,77.1,0.029,0.025,7500,0.0333
2010-03-31,Ford,Commercial_Vehicles,Asia_Pacific,9343,43923.72,0.0258,824.77,73.44,0.034,0.025,7500,0.0333
2010-03-31,Ford,Commercial_Vehicles,China,11255,43978.27,0.0194,704.22,65.41,0.0302,0.025,7500,0.0333
2010-03-31,Ford,Electric_Vehicles,North_America,1431,41162.32,0.0239,705.32,75.91,0.0364,0.025,7500,0.0333
2010-03-31,Ford,Electric_Vehicles,Europe,1465,40857.87,0.0192,649.37,66.95,0.0432,0.025,7500,0.0333
2010-03-31,Ford,Electric_Vehicles,Asia_Pacific,1580,39905.55,0.0275,741.07,92.18,0.0321,0.025,7500,0.0333
2010-03-31,Ford,Electric_Vehicles,China,1900,37970.77,0.0253,761.2,87.43,0.0331,0.025,7500,0.0333
2010-03-31,Hyundai-Kia,Passenger_Cars,North_America,19084,23027.99,0.0216,705.42,95.93,0.0375,0.025,7500,0.0333
2010-03-31,Hyundai-Kia,Passenger_Cars,Europe,26943,22799.18,0.0304,680.32,78.76,0.0451,0.025,7500,0.0333
2010-03-31,Hyundai-Kia,Passenger_Cars,Asia_Pacific,28111,22472.79,0.0291,710.28,69.53,0.0344,0.025,7500,0.0333
2010-03-31,Hyundai-Kia,Passenger_Cars,China,33638,22108.1,0.0214,714.46,76.41,0.0406,0.025,7500,0.0333
2010-03-31,Hyundai-Kia,Commercial_Vehicles,North_America,6578,40884.9,0.0184,740.89,71.48,0.0303,0.025,7500,0.0333
2010-03-31,Hyundai-Kia,Commercial_Vehicles,Europe,8463,39892.66,0.0228,748.21,82.96,0.0305,0.025,7500,0.0333
2010-03-31,Hyundai-Kia,Commercial_Vehicles,Asia_Pacific,10118,40567.63,0.0223,701.96,79.12,0.0275,0.025,7500,0.0333
2010-03-31,Hyundai-Kia,Commercial_Vehicles,China,11587,38279.97,0.0186,746.36,78.89,0.0425,0.025,7500,0.0333
2010-03-31,Hyundai-Kia,Electric_Vehicles,North_America,1168,34950.37,0.028,688.5,81.29,0.0383,0.025,7500,0.0333
2010-03-31,Hyundai-Kia,Electric_Vehicles,Europe,1278,34161.65,0.0201,705.8,93.73,0.0456,0.025,7500,0.0333
2010-03-31,Hyundai-Kia,Electric_Vehicles,Asia_Pacific,1727,35274.34,0.0295,683.81,82.51,0.0401,0.025,7500,0.0333
2010-03-31,Hyundai-Kia,Electric_Vehicles,China,2068,35086.78,0.0318,725.59,77.5,0.0356,0.025,7500,0.0333
2010-03-31,Stellantis,Passenger_Cars,North_America,20693,26633.47,0.0188,723.5,77.85,0.0329,0.025,7500,0.0333
2010-03-31,Stellantis,Passenger_Cars,Europe,23744,26720.77,0.0291,692.9,82.3,0.0345,0.025,7500,0.0333
2010-03-31,Stellantis,Passenger_Cars,Asia_Pacific,26373,26372.27,0.0243,665.48,66.6,0.0349,0.025,7500,0.0333
2010-03-31,Stellantis,Passenger_Cars,China,32008,26143.62,0.0237,722.1,89.62,0.0256,0.025,7500,0.0333
2010-03-31,Stellantis,Commercial_Vehicles,North_America,6673,47386.56,0.0142,664.65,75.3,0.0356,0.025,7500,0.0333
2010-03-31,Stellantis,Commercial_Vehicles,Europe,7363,47985.59,0.0138,722.12,81.98,0.0292,0.025,7500,0.0333
2010-03-31,Stellantis,Commercial_Vehicles,Asia_Pacific,9381,45020.34,0.02,712.68,81.18,0.0313,0.025,7500,0.0333
2010-03-31,Stellantis,Commercial_Vehicles,China,11017,46921.69,0.0267,707.26,88.12,0.0355,0.025,7500,0.0333
2010-03-31,Stellantis,Electric_Vehicles,North_America,1105,42313.81,0.0283,692.28,84.02,0.0255,0.025,7500,0.0333
2010-03-31,Stellantis,Electric_Vehicles,Europe,1390,40794.23,0.0143,775.76,71.4,0.022,0.025,7500,0.0333
2010-03-31,Stellantis,Electric_Vehicles,Asia_Pacific,1578,42442.72,0.024,715.58,89.81,0.0302,0.025,7500,0.0333
2010-03-31,Stellantis,Electric_Vehicles,China,1656,40638.28,0.0204,669.41,71.77,0.0365,0.025,7500,0.0333
2010-03-31,GM,Passenger_Cars,North_America,25058,26694.56,0.0257,701.07,106.29,0.0291,0.025,7500,0.0333
2010-03-31,GM,Passenger_Cars,Europe,30312,25584.75,0.0241,703.2,74.11,0.0226,0.025,7500,0.0333
2010-03-31,GM,Passenger_Cars,Asia_Pacific,37794,24870.57,0.0161,695.48,79.19,0.0308,0.025,7500,0.0333
2010-03-31,GM,Passenger_Cars,China,48005,25192.28,0.0195,733.34,81.21,0.0262,0.025,7500,0.0333
2010-03-31,GM,Commercial_Vehicles,North_America,6990,46168.41,0.0205,699.81,82.36,0.0358,0.025,7500,0.0333
2010-03-31,GM,Commercial_Vehicles,Europe,8712,46043.14,0.0217,690.27,91.04,0.0298,0.025,7500,0.0333
2010-03-31,GM,Commercial_Vehicles,Asia_Pacific,11300,44363.21,0.0249,682.61,76.91,0.0316,0.025,7500,0.0333
